Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Mar 13 2021 19:27:48 GMT-0500 (EST)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-14,US,3628,3509,4,15759,14126,1359,7063,7879,680,null,null,4,14126,1363,681
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,48823,45399,25,64582,59525,1384,19842,21527,461,null,null,26,59525,1389,463
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,157698,150849,196,222280,210374,1580,52594,55570,395,null,null,196,210374,1585,396
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,270176,259385,475,492456,469759,2055,93952,98491,411,null,null,475,469759,2060,412
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,410794,399592,556,903250,869351,2611,144892,150541,435,null,null,556,869351,2616,436
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,179419,174862,688,1082669,1044213,3299,149173,154667,471,null,null,688,1044213,3304,472
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,102388,100269,451,1185057,1144482,3750,161981,167560,342,null,null,452,1144482,3756,342
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,375955,367698,729,1561012,1512180,4479,214008,220750,446,null,null,730,1512180,4486,446
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-21,LTC,14149,13986,0,16435,16073,0,2263,2315,0,null,null,0,16073,0,0
Admin,2020-12-22,US,442235,433160,1869,2003247,1945340,6348,269402,276952,709,null,null,1869,1945340,6355,709
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16775,16553,9,33210,32626,9,4628,4711,1,null,null,9,32626,9,1
Admin,2020-12-23,US,559550,547602,1573,2562797,2492942,7921,326081,334359,906,null,null,1573,2492942,7928,906
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22714,20145,13,55924,52771,22,7506,7956,3,null,null,13,52771,22,3
Admin,2020-12-24,US,191184,185694,825,2753981,2678636,8746,315554,323075,956,null,null,825,2678636,8753,956
Report,2020-12-24,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,2020-12-24,LTC,2042,2026,16,57966,54797,38,7795,8247,5,null,null,16,54797,38,5
Admin,2020-12-25,US,11897,11808,35,2765878,2690444,8781,260156,266089,881,null,null,35,2690444,8788,881
Report,2020-12-25,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,2020-12-25,LTC,115,115,0,58081,54912,38,7623,8047,5,null,null,0,54912,38,5
Admin,2020-12-26,US,136431,133998,304,2902309,2824442,9085,254318,259948,827,null,null,304,2824442,9092,826
Report,2020-12-26,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,2020-12-26,LTC,9313,9189,13,67394,64101,51,8889,9331,7,null,null,13,64101,51,7
Admin,2020-12-27,US,91570,89727,285,2993879,2914169,9370,252812,258403,803,null,null,285,2914169,9377,803
Report,2020-12-27,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,2020-12-27,LTC,8925,8801,8,76319,72902,59,10116,10576,8,null,null,8,72902,59,8
Admin,2020-12-28,US,567233,553444,2125,3561112,3467613,11495,279348,285728,1002,null,null,2125,3467613,11502,1002
Report,2020-12-28,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,2020-12-28,LTC,59245,58648,20,135564,131550,79,16497,17018,11,null,null,20,131550,79,11
Admin,2020-12-29,US,696411,675837,2634,4257523,4143450,14129,314016,322039,1112,null,null,2635,4143450,14137,1111
Report,2020-12-29,US,null,null,null,null,null,null,null,null,null,314677,247446,null,null,null,null
Admin,2020-12-29,LTC,79215,78098,75,214779,209648,154,25289,25938,21,null,null,75,209648,154,20
Admin,2020-12-30,US,813760,791494,4712,5071283,4934944,18841,348857,358355,1560,null,null,4713,4934944,18850,1560
Report,2020-12-30,US,null,null,null,null,null,null,null,null,null,441549,257928,null,null,null,null
Admin,2020-12-30,LTC,77233,76144,247,292012,285792,401,33289,33726,54,null,null,247,285792,401,54
Admin,2020-12-31,US,408353,397142,1737,5479636,5332086,20578,379064,389379,1690,null,null,1737,5332086,20587,1690
Report,2020-12-31,US,null,null,null,null,null,null,null,null,null,573278,291477,null,null,null,null
Admin,2020-12-31,LTC,16131,16054,70,308143,301846,471,35293,35739,62,null,null,70,301846,471,61
Admin,2021-01-01,US,40669,38914,1013,5520305,5371000,21591,382937,393489,1830,null,null,1022,5371000,21609,1831
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-01,LTC,1592,1588,4,309735,303434,475,35503,35950,62,null,null,4,303434,475,62
Admin,2021-01-02,US,245526,238938,1995,5765831,5609938,23586,397928,409074,2072,null,null,1997,5609938,23606,2073
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46161,45507,38,355896,348941,513,40691,41214,66,null,null,38,348941,513,66
Admin,2021-01-03,US,127013,121250,1993,5892844,5731188,25579,402431,414137,2316,null,null,1993,5731188,25599,2317
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32410,31727,57,388306,380668,570,43967,44569,73,null,null,57,380668,570,73
Admin,2021-01-04,US,618789,565187,41227,6511633,6296375,66806,404109,421503,7902,null,null,41228,6296375,66827,7903
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85539,84661,58,473845,465329,628,47683,48325,78,null,null,58,465329,628,78
Admin,2021-01-05,US,775153,681528,80791,7286786,6977903,147597,404922,432751,19067,null,null,80794,6977903,147621,19069
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96477,95891,103,570322,561220,731,50225,50791,82,null,null,103,561220,731,82
Admin,2021-01-06,US,965290,785085,163628,8252076,7762988,311225,404006,454399,41769,null,null,163632,7762988,311253,41771
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94686,93804,174,665008,655024,905,52747,53285,72,null,null,174,655024,905,72
Admin,2021-01-07,US,1106762,820843,265194,9358838,8583831,576419,464535,554171,79406,null,null,265195,8583831,576448,79408
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,122835,121669,338,787843,776693,1243,67835,68528,110,null,null,338,776693,1243,110
Admin,2021-01-08,US,1170767,802719,346220,10529605,9386550,922639,573650,715614,128721,null,null,346223,9386550,922671,128723
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113679,111600,1247,901522,888293,2490,83551,84541,288,null,null,1247,888293,2490,287
Admin,2021-01-09,US,482121,352153,122732,11011726,9738703,1045371,589824,749413,145969,null,null,122732,9738703,1045403,145971
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50432,49538,336,951954,937831,2826,84127,85151,330,null,null,336,937831,2826,330
Admin,2021-01-10,US,232823,163037,66345,11244549,9901740,1111716,595793,764529,155162,null,null,66346,9901740,1111749,155164
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35486,35000,283,987440,972831,3109,84595,85590,363,null,null,283,972831,3109,362
Admin,2021-01-11,US,1008470,681623,309162,12253019,10583363,1420878,612427,820198,193439,null,null,309165,10583363,1420914,193441
Report,2021-01-11,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
Admin,2021-01-11,LTC,143143,130888,11357,1130583,1103719,14466,91199,93819,1977,null,null,11357,1103719,14466,1976
Admin,2021-01-12,US,1180936,861940,300248,13433955,11445303,1721126,638200,878167,224790,null,null,300250,11445303,1721164,224791
Report,2021-01-12,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,2021-01-12,LTC,156222,141915,13394,1286805,1245634,27860,97773,102354,3876,null,null,13394,1245634,27860,3875
Admin,2021-01-13,US,1251013,977884,256102,14684968,12423187,1977228,665743,918984,238000,null,null,256105,12423187,1977269,238002
