Trends in Number of COVID-19 Vaccinations in the US
Date generated: Wed Mar 17 2021 16:02:57 GMT-0400 (EDT)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-14,US,3632,3513,4,15783,14150,1359,7075,7891,680,null,null,4,14150,1363,681
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,48862,45438,25,64645,59588,1384,19863,21548,461,null,null,26,59588,1389,463
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,157983,151130,197,222628,210718,1581,52680,55657,395,null,null,197,210718,1586,396
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,270610,259814,476,493238,470532,2057,94106,98647,411,null,null,476,470532,2062,412
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,411317,400095,558,904555,870627,2615,145105,150759,436,null,null,558,870627,2620,436
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,179609,175042,691,1084164,1045669,3306,149381,154880,472,null,null,691,1045669,3311,473
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,102451,100324,453,1186615,1145993,3759,162194,167780,343,null,null,454,1145993,3765,343
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,376061,367789,735,1562676,1513782,4494,214233,220984,448,null,null,736,1513782,4501,448
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-21,LTC,14163,13999,0,16449,16086,0,2265,2317,0,null,null,0,16086,0,0
Admin,2020-12-22,US,442374,433282,1884,2005050,1947064,6378,269639,277200,713,null,null,1884,1947064,6385,713
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16783,16561,9,33232,32647,9,4631,4714,1,null,null,9,32647,9,1
Admin,2020-12-23,US,559767,547814,1577,2564817,2494878,7955,326309,334598,911,null,null,1577,2494878,7962,910
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22741,20172,13,55973,52819,22,7513,7963,3,null,null,13,52819,22,3
