Trends in Number of COVID-19 Vaccinations in the US
Date generated: Fri Mar 19 2021 15:22:35 GMT-0400 (EDT)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-14,US,3637,3518,4,15821,14188,1359,7094,7910,680,null,null,4,14188,1374,687
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,48887,45462,25,64708,59650,1384,19883,21569,461,null,null,26,59650,1400,466
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,158176,151321,198,222884,210971,1582,52743,55721,396,null,null,198,210971,1598,399
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,270983,260179,476,493867,471150,2058,94230,98773,412,null,null,476,471150,2074,414
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,411777,400457,560,905644,871607,2618,145268,150940,436,null,null,560,871607,2634,439
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,179784,175148,694,1085428,1046755,3312,149536,155061,473,null,null,694,1046755,3328,475
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,102555,100410,465,1187983,1147165,3777,162356,167971,346,null,null,466,1147165,3794,346
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,376304,367984,751,1564287,1515149,4528,214423,221209,453,null,null,753,1515149,4547,453
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-21,LTC,14164,14000,0,16450,16087,0,2265,2317,0,null,null,0,16087,0,0
Admin,2020-12-22,US,442594,433491,1893,2006881,1948640,6421,269856,277453,720,null,null,1894,1948640,6441,720
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16783,16561,9,33233,32648,9,4631,4714,1,null,null,9,32648,9,1
Admin,2020-12-23,US,560028,548052,1581,2566909,2496692,8002,326532,334860,917,null,null,1581,2496692,8022,917
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22741,20172,13,55974,52820,22,7513,7963,3,null,null,13,52820,22,3
Admin,2020-12-24,US,191338,185838,830,2758247,2682530,8832,315911,323482,968,null,null,830,2682530,8852,968
Report,2020-12-24,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,2020-12-25,US,11933,11843,36,2770180,2694373,8868,260395,266362,893,null,null,36,2694373,8888,893
Report,2020-12-25,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,2020-12-25,LTC,115,115,0,58131,54961,38,7630,8054,5,null,null,0,54961,38,5
Admin,2020-12-26,US,136625,134182,312,2906805,2828555,9180,254543,260196,838,null,null,312,2828555,9200,838
Report,2020-12-26,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,2020-12-26,LTC,9361,9234,13,67492,64195,51,8903,9345,7,null,null,13,64195,51,7
Admin,2020-12-27,US,91732,89878,296,2998537,2918433,9476,253038,258650,814,null,null,296,2918433,9496,814
Report,2020-12-27,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,2020-12-27,LTC,8945,8819,8,76437,73014,59,10132,10593,8,null,null,8,73014,59,8
Admin,2020-12-28,US,567862,553941,2157,3566399,3472374,11633,279604,286016,1015,null,null,2158,3472374,11654,1015
Report,2020-12-28,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,2020-12-28,LTC,59455,58850,20,135892,131864,79,16540,17063,11,null,null,20,131864,79,11
Admin,2020-12-29,US,696904,676241,2662,4263303,4148615,14295,314282,322346,1125,null,null,2664,4148615,14318,1125
Report,2020-12-29,US,null,null,null,null,null,null,null,null,null,314677,247446,null,null,null,null
Admin,2020-12-29,LTC,79277,78160,75,215169,210024,154,25339,25990,21,null,null,75,210024,154,20
Admin,2020-12-30,US,814649,792328,4749,5077952,4940943,19044,349179,358720,1577,null,null,4751,4940943,19069,1578
Report,2020-12-30,US,null,null,null,null,null,null,null,null,null,441549,257928,null,null,null,null
Admin,2020-12-30,LTC,77318,76229,247,292487,286253,401,33348,33787,54,null,null,247,286253,401,54
Admin,2020-12-31,US,408972,397724,1763,5486924,5338667,20807,379448,389811,1711,null,null,1763,5338667,20832,1711
Report,2020-12-31,US,null,null,null,null,null,null,null,null,null,573278,291477,null,null,null,null
Admin,2020-12-31,LTC,16133,16056,70,308620,302309,471,35352,35800,62,null,null,70,302309,471,61
Admin,2021-01-01,US,41247,39448,1050,5528171,5378115,21857,383392,393998,1856,null,null,1067,5378115,21899,1858
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-02,US,245956,239346,2010,5774127,5617461,23867,398415,409617,2098,null,null,2012,5617461,23911,2101
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46298,45637,38,356518,349542,513,40764,41289,66,null,null,38,349542,513,66
Admin,2021-01-03,US,127612,121477,2022,5901739,5738938,25889,402929,414743,2345,null,null,2023,5738938,25934,2348
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32470,31787,57,388988,381329,570,44045,44650,73,null,null,57,381329,570,73
Admin,2021-01-04,US,619868,565932,41309,6521607,6304870,67198,404642,422172,7938,null,null,41312,6304870,67246,7941
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85617,84735,58,474605,466064,628,47743,48387,78,null,null,58,466064,628,78
Admin,2021-01-05,US,778099,683918,81049,7299706,6988788,148247,405739,433771,19136,null,null,81052,6988788,148298,19140
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96572,95984,103,571177,562048,731,50289,50858,82,null,null,103,562048,731,82
Admin,2021-01-06,US,967001,786086,164273,8266707,7774874,312520,404847,455536,41925,null,null,164281,7774874,312579,41930
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94739,93857,174,665916,655905,905,52807,53347,72,null,null,174,655905,905,72
Admin,2021-01-07,US,1106931,820062,266055,9373638,8594936,578575,465181,555244,79681,null,null,266057,8594936,578636,79686
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,122967,121801,338,788883,777706,1243,67914,68609,110,null,null,338,777706,1243,110
Admin,2021-01-08,US,1171153,801879,347285,10544791,9396815,925860,574100,716660,129143,null,null,347289,9396815,925925,129146
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113774,111694,1247,902657,889400,2490,83642,84633,288,null,null,1247,889400,2490,287
Admin,2021-01-09,US,482833,352507,123039,11027624,9749322,1048899,590266,750499,146433,null,null,123040,9749322,1048965,146436
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50465,49556,336,953122,938956,2826,84202,85229,330,null,null,336,938956,2826,330
Admin,2021-01-10,US,233671,163735,66471,11261295,9913057,1115370,596303,765650,155640,null,null,66472,9913057,1115437,155643
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35498,35008,283,988620,973964,3109,84662,85661,363,null,null,283,973964,3109,362
Admin,2021-01-11,US,1011530,683670,310061,12272825,10596727,1425431,613122,821602,194033,null,null,310066,10596727,1425503,194036
Report,2021-01-11,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
