Trends in Number of COVID-19 Vaccinations in the US
Date generated: Mon Mar 22 2021 13:20:52 GMT-0400 (EDT)

Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-14,US,3642,3523,4,15850,14217,1359,7109,7925,680,null,null,5,14217,1382,691
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,48904,45479,25,64754,59696,1384,19899,21584,461,null,null,26,59696,1408,469
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,158240,151384,198,222994,211080,1582,52770,55748,396,null,null,199,211080,1607,401
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,271070,260261,480,494064,471341,2062,94268,98812,412,null,null,480,471341,2087,417
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,411964,400630,569,906028,871971,2631,145329,151004,439,null,null,569,871971,2656,442
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,179865,175226,697,1085893,1047197,3328,149600,155127,475,null,null,697,1047197,3353,479
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,102635,100485,469,1188528,1147682,3797,162427,168045,349,null,null,470,1147682,3823,349
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,376452,368094,781,1564980,1515776,4578,214508,221304,460,null,null,784,1515776,4607,460
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-21,LTC,14164,14000,0,16450,16087,0,2265,2317,0,null,null,0,16087,0,0
Admin,2020-12-22,US,442711,433596,1898,2007691,1949372,6476,269954,277562,727,null,null,1899,1949372,6506,728
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16783,16561,9,33233,32648,9,4631,4714,1,null,null,9,32648,9,1
Admin,2020-12-23,US,560195,548212,1584,2567886,2497584,8060,326643,334984,925,null,null,1584,2497584,8090,926
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22750,20179,13,55983,52827,22,7514,7964,3,null,null,13,52827,22,3
Admin,2020-12-24,US,191415,185912,833,2759301,2683496,8893,316022,323605,976,null,null,833,2683496,8923,976
Report,2020-12-24,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,2020-12-24,LTC,2042,2026,16,58025,54853,38,7803,8255,5,null,null,16,54853,38,5
Admin,2020-12-25,US,11937,11846,37,2771238,2695342,8930,260482,266458,900,null,null,37,2695342,8960,900
Report,2020-12-25,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,2020-12-25,LTC,115,115,0,58140,54968,38,7631,8055,5,null,null,0,54968,38,5
Admin,2020-12-26,US,136656,134208,317,2907894,2829550,9247,254622,260285,846,null,null,318,2829550,9278,846
Report,2020-12-26,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,2020-12-26,LTC,9365,9238,13,67505,64206,51,8904,9347,7,null,null,13,64206,51,7
Admin,2020-12-27,US,91764,89910,296,2999658,2919460,9543,253111,258732,821,null,null,296,2919460,9574,821
Report,2020-12-27,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,2020-12-27,LTC,8948,8822,8,76453,73028,59,10134,10595,8,null,null,8,73028,59,8
